options,choices,parallel_size,"times_happened,",traces,states,multi_states,method_time,trace_time
2.0,4.0,5.0,7.0,3.2038215745536e+17,1024.0,7168.0,80.5,-1.0
2.0,4.0,5.0,10.0,3.2038215745536e+17,1024.0,10240.0,103.24,-1.0
2.0,5.0,2.0,2.0,258048.0,25.0,50.0,0.11,9.42
2.0,5.0,2.0,3.0,258048.0,25.0,75.0,0.2,9.68
2.0,5.0,2.0,5.0,258048.0,25.0,125.0,0.22,10.12
2.0,5.0,2.0,7.0,258048.0,25.0,175.0,0.37,9.43
2.0,5.0,2.0,10.0,258048.0,25.0,250.0,0.59,9.81
2.0,5.0,3.0,2.0,24797380608.0,125.0,250.0,1.33,-1.0
2.0,5.0,3.0,3.0,24797380608.0,125.0,375.0,1.5,-1.0
2.0,5.0,3.0,5.0,24797380608.0,125.0,625.0,2.84,-1.0
2.0,5.0,3.0,7.0,24797380608.0,125.0,875.0,3.5,-1.0
2.0,5.0,3.0,10.0,24797380608.0,125.0,1250.0,5.1,-1.0
2.0,5.0,4.0,2.0,1.2302674846285824e+16,625.0,1250.0,12.41,-1.0
2.0,5.0,4.0,3.0,1.2302674846285824e+16,625.0,1875.0,13.46,-1.0
2.0,5.0,4.0,5.0,1.2302674846285824e+16,625.0,3125.0,21.93,-1.0
2.0,5.0,4.0,7.0,1.2302674846285824e+16,625.0,4375.0,28.14,-1.0
2.0,5.0,4.0,10.0,1.2302674846285824e+16,625.0,6250.0,40.06,-1.0
2.0,5.0,5.0,2.0,20916515666661306531840,3125.0,6250.0,80.68,-1.0
2.0,5.0,5.0,3.0,20916515666661306531840,3125.0,9375.0,95.48,-1.0
2.0,5.0,5.0,5.0,20916515666661306531840,3125.0,15625.0,135.1,-1.0
2.0,5.0,5.0,7.0,20916515666661306531840,3125.0,21875.0,177.4,-1.0
2.0,5.0,5.0,10.0,20916515666661306531840,3125.0,31250.0,228.4,-1.0
